Cod Vign,Ore uomo media,Ore uomo sd,data vendemmia media,data vendemmia sd
vigneto 1,37,14.14213562,261.5,10.60660172
vigneto 2,72.66666667,6.658328118,270,11.78982612
vigneto 3,43,14.10673598,251,10.58300524
vigneto 4 T,69.33333333,11.01514109,268.3333333,24.00694344
vigneto 4 S,49,20.80865205,277.6666667,11.2398102
vigneto 4 M,46.66666667,10.06644591,271.3333333,15.94783162
vigneto 5,81.33333333,12.05542755,260.3333333,15.30795
vigneto 6,53,15.55634919,267,12.72792206
vigneto 7,27.66666667,6.806859,273,15.6205
vigneto 8,28,11.3137085,276.5,20.50609665
vigneto 9,45.33333333,11.93035345,251.3333333,15.69500982
vigneto 10,110.3333333,35.01904244,260.3333333,14.0118997
vigneto 11,52.66666667,11.37248141,260.6666667,4.163331999
vigneto 13 S,72.66666667,25.77466456,267.3333333,10.78579312
vigneto 13 P,40.5,7.778174593,285,15.55634919
vigneto 14 M,76.66666667,25.16611478,270,11.26942767
vigneto 14 S,16.66666667,5.033222957,270.6666667,11.54700538
vigneto 15,35,18.02775638,268.3333333,12.09683154
vigneto 16,81,6.08276253,268.3333333,4.163331999